Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS4,Firefox 103.0,,,2023-11-13 04:48:11,2023-11-13 04:48:49,"38,238s",PASSED
,,,,,,,
Test Cases/Healthcare/ClickComment,Firefox 103.0,,,2023-11-13 04:48:11,2023-11-13 04:48:24,"12,631s",PASSED
"openBrowser("""")",Firefox 103.0,,,2023-11-13 04:48:11,2023-11-13 04:48:15,"3,994s",PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Firefox 103.0,,,2023-11-13 04:48:15,2023-11-13 04:48:20,"4,151s",PASSED
"click(findTestObject(""Page_CURA Healthcare Service/i_CURA Healthcare_fa fa-bars""))",Firefox 103.0,,,2023-11-13 04:48:20,2023-11-13 04:48:20,"0,648s",PASSED
"click(findTestObject(""Page_CURA Healthcare Service/a_Login""))",Firefox 103.0,,,2023-11-13 04:48:20,2023-11-13 04:48:21,"0,823s",PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Firefox 103.0,,,2023-11-13 04:48:21,2023-11-13 04:48:22,"0,719s",PASSED
"setEncryptedText(findTestObject(""Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Firefox 103.0,,,2023-11-13 04:48:22,2023-11-13 04:48:22,"0,385s",PASSED
"click(findTestObject(""Page_CURA Healthcare Service/button_Login""))",Firefox 103.0,,,2023-11-13 04:48:22,2023-11-13 04:48:23,"1,007s",PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/textarea_Comment_comment""), ""lorem ipsum"")",Firefox 103.0,,,2023-11-13 04:48:23,2023-11-13 04:48:24,"0,714s",PASSED
,,,,,,,
Test Cases/Healthcare/ClickDatePicker,Firefox 103.0,,,2023-11-13 04:48:24,2023-11-13 04:48:37,"13,103s",PASSED
"openBrowser("""")",Firefox 103.0,,,2023-11-13 04:48:24,2023-11-13 04:48:27,"3,238s",PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Firefox 103.0,,,2023-11-13 04:48:27,2023-11-13 04:48:32,"5,220s",PASSED
"click(findTestObject(""Page_CURA Healthcare Service/i_CURA Healthcare_fa fa-bars""))",Firefox 103.0,,,2023-11-13 04:48:32,2023-11-13 04:48:33,"0,542s",PASSED
"click(findTestObject(""Page_CURA Healthcare Service/a_Login""))",Firefox 103.0,,,2023-11-13 04:48:33,2023-11-13 04:48:34,"0,763s",PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Firefox 103.0,,,2023-11-13 04:48:34,2023-11-13 04:48:34,"0,744s",PASSED
"setEncryptedText(findTestObject(""Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Firefox 103.0,,,2023-11-13 04:48:34,2023-11-13 04:48:35,"0,327s",PASSED
"click(findTestObject(""Page_CURA Healthcare Service/button_Login""))",Firefox 103.0,,,2023-11-13 04:48:35,2023-11-13 04:48:36,"0,986s",PASSED
"click(findTestObject(""Page_CURA Healthcare Service/Date/datepicker""))",Firefox 103.0,,,2023-11-13 04:48:36,2023-11-13 04:48:36,"0,640s",PASSED
"click(findTestObject(""Page_CURA Healthcare Service/Date/dateitem""))",Firefox 103.0,,,2023-11-13 04:48:36,2023-11-13 04:48:37,"0,515s",PASSED
,,,,,,,
Test Cases/Healthcare/HandlingOptions,Firefox 103.0,,,2023-11-13 04:48:37,2023-11-13 04:48:49,"12,340s",PASSED
"openBrowser("""")",Firefox 103.0,,,2023-11-13 04:48:37,2023-11-13 04:48:40,"3,441s",PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Firefox 103.0,,,2023-11-13 04:48:40,2023-11-13 04:48:45,"4,097s",PASSED
"click(findTestObject(""Page_CURA Healthcare Service/a_CURA Healthcare_menu-toggle""))",Firefox 103.0,,,2023-11-13 04:48:45,2023-11-13 04:48:45,"0,593s",PASSED
"click(findTestObject(""Page_CURA Healthcare Service/a_Login""))",Firefox 103.0,,,2023-11-13 04:48:45,2023-11-13 04:48:46,"0,778s",PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Firefox 103.0,,,2023-11-13 04:48:46,2023-11-13 04:48:47,"0,695s",PASSED
"setEncryptedText(findTestObject(""Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Firefox 103.0,,,2023-11-13 04:48:47,2023-11-13 04:48:47,"0,326s",PASSED
"click(findTestObject(""Page_CURA Healthcare Service/button_Login""))",Firefox 103.0,,,2023-11-13 04:48:47,2023-11-13 04:48:48,"1,033s",PASSED
"selectOptionByIndex(findTestObject(""Page_CURA Healthcare Service/selectFacility""), 2)",Firefox 103.0,,,2023-11-13 04:48:48,2023-11-13 04:48:49,"1,278s",PASSED
